feature,importance,cumulative,cumulative_pct
BTC_obv,0.056563884103186114,0.056563884103186114,0.056563884103186114
returns,0.0467402144735594,0.10330409857674552,0.10330409857674552
returns_lag_3,0.043535650303654846,0.14683974888040036,0.14683974888040036
macd_signal_12_26_9,0.0323431723221767,0.17918292120257706,0.17918292120257706
btc_dominance,0.023450488479594692,0.20263340968217175,0.20263340968217175
BTC_BTC_Volume,0.021517710912062324,0.2241511205942341,0.2241511205942341
BTC_returns,0.018410329392013668,0.24256144998624776,0.24256144998624776
volume_lag_3,0.01704489836019508,0.25960634834644286,0.25960634834644286
lido_lido_eth_tvl,0.016676492232280783,0.27628284057872365,0.27628284057872365
returns_sma_60,0.01558323336337295,0.2918660739420966,0.2918660739420966
returns_ema_7,0.015507917422683872,0.3073739913647805,0.3073739913647805
volume_sma_7,0.014788375845676207,0.3221623672104567,0.3221623672104567
returns_lag_1,0.01463633925820758,0.3367987064686643,0.3367987064686643
volume_lag_14,0.013901805311080769,0.35070051177974504,0.35070051177974504
BTC_returns_lag_14,0.013847265774193868,0.3645477775539389,0.3645477775539389
BTC_roc_20,0.013338867516678336,0.37788664507061726,0.37788664507061726
BTC_macd_12_26,0.012726111132031362,0.3906127562026486,0.3906127562026486
btc_eth_correlation,0.012622117632289256,0.4032348738349379,0.4032348738349379
dxy_DXY,0.012394198810314165,0.41562907264525206,0.41562907264525206
BTC_returns_lag_7,0.011336395218770305,0.42696546786402234,0.42696546786402234
volume_lag_7,0.010723078173273191,0.4376885460372955,0.4376885460372955
BTC_returns_ema_7,0.010667711995699736,0.4483562580329952,0.4483562580329952
BTC_returns_lag_1,0.010473821058847794,0.45883007909184303,0.45883007909184303
bnb_eth_ratio,0.010132715420244031,0.46896279451208706,0.46896279451208706
BTC_returns_lag_3,0.010115646625892656,0.4790784411379797,0.4790784411379797
BTC_momentum_10,0.010009036160882381,0.4890874772988621,0.4890874772988621
funding_fundingRate_lag1,0.009978194990073203,0.4990656722889353,0.4990656722889353
BTC_cci_20,0.009885573249568116,0.5089512455385033,0.5089512455385033
volume_lag_1,0.00961581113776567,0.518567056676269,0.518567056676269
BTC_mfi_14,0.00960634354284245,0.5281734002191114,0.5281734002191114
