Model,Train_Acc,Val_Acc,Test_Acc,Train_AUC,Val_AUC,Test_AUC,Test_Precision,Test_Recall,Test_F1,Overfit_Gap
RandomForest,0.8717320261437909,0.5954198473282443,0.5855513307984791,0.9541166758834043,0.6216736694677871,0.6614583333333333,0.6666666666666666,0.3851851851851852,0.48826291079812206,0.28618069534531176
GradientBoosting,0.9379084967320261,0.5725190839694656,0.5893536121673004,0.9883414948212621,0.6399393090569561,0.6821759259259259,0.7213114754098361,0.32592592592592595,0.4489795918367347,0.3485548845647257
ExtraTrees,0.7785947712418301,0.5725190839694656,0.5361216730038023,0.8740432625648177,0.6011321195144724,0.5987847222222221,0.5546218487394958,0.4888888888888889,0.5196850393700787,0.24247309823802776
AdaBoost,0.6830065359477124,0.6145038167938931,0.6159695817490495,0.7594097547813496,0.6252042483660131,0.6672164351851851,0.6517857142857143,0.5407407407407407,0.5910931174089069,0.06703695419866296
DecisionTree,0.7892156862745098,0.44656488549618323,0.44106463878326996,0.8664067279512929,0.48961251167133524,0.4596064814814814,0.4230769230769231,0.24444444444444444,0.30985915492957744,0.3481510474912398
LogisticRegression,0.7189542483660131,0.683206106870229,0.6159695817490495,0.7900186739118238,0.7394957983193278,0.6896990740740742,0.6808510638297872,0.4740740740740741,0.5589519650655022,0.1029846666169636
RidgeClassifier,0.8897058823529411,0.7519083969465649,0.6577946768060836,0.8896195491011677,0.7560690943043884,0.6662615740740742,0.9591836734693877,0.34814814814814815,0.5108695652173914,0.2319112055468575
SVM_RBF,0.6805555555555556,0.6030534351145038,0.5475285171102662,0.7639980871930092,0.6453081232492996,0.5862268518518519,0.5341880341880342,0.9259259259259259,0.6775067750677507,0.1330270384452894
SVM_Linear,0.7369281045751634,0.683206106870229,0.6425855513307985,0.818925835984815,0.7588702147525677,0.6966435185185185,0.7662337662337663,0.43703703703703706,0.5566037735849056,0.09434255324436491
MLP_Small,0.7058823529411765,0.6259541984732825,0.5703422053231939,0.7753066234949334,0.6386554621848739,0.6008101851851851,0.6037735849056604,0.4740740740740741,0.5311203319502075,0.1355401476179826
MLP_Medium,0.8627450980392157,0.5534351145038168,0.5133079847908745,0.9329502376315388,0.6590802987861811,0.6653935185185186,0.6842105263157895,0.0962962962962963,0.16883116883116883,0.34943711324834126
KNN,1.0,0.5343511450381679,0.5171102661596958,1.0,0.5537464985994398,0.5281250000000001,0.5444444444444444,0.362962962962963,0.43555555555555553,0.4828897338403042
NaiveBayes,0.548202614379085,0.4732824427480916,0.5247148288973384,0.5791490680408956,0.5309290382819795,0.5216435185185185,0.5235849056603774,0.8222222222222222,0.6397694524495677,0.02348778548174657
Bagging_RF,0.9150326797385621,0.5648854961832062,0.5285171102661597,0.9770196009286196,0.6072012138188608,0.5934027777777777,0.6410256410256411,0.18518518518518517,0.28735632183908044,0.3865155694724024
Voting_Soft,0.8815359477124183,0.6679389312977099,0.6463878326996197,0.9581773834617,0.692110177404295,0.737037037037037,0.7386363636363636,0.48148148148148145,0.5829596412556054,0.23514811501279853
Voting_Hard,0.8913398692810458,0.6450381679389313,0.6501901140684411,0.8909740087999808,0.6490429505135387,0.653587962962963,0.7171717171717171,0.5259259259259259,0.6068376068376068,0.24114975521260473
Stacking,0.6045751633986928,0.5343511450381679,0.596958174904943,0.6743018655211197,0.5870681605975724,0.6559606481481481,0.6028368794326241,0.6296296296296297,0.6159420289855072,0.00761698849374981
