Fold,Model,Test_Acc,Test_Precision,Test_Recall,Test_F1,Test_AUC
1,RandomForest,0.5360824742268041,0.5176470588235295,0.624113475177305,0.5659163987138264,0.5637352245862884
1,GradientBoosting,0.5807560137457045,0.5772357723577236,0.5035460992907801,0.5378787878787878,0.5983451536643025
1,LogisticRegression,0.5292096219931272,0.5074074074074074,0.9716312056737588,0.6666666666666666,0.6804255319148936
1,ExtraTrees,0.5257731958762887,0.5081081081081081,0.6666666666666666,0.5766871165644172,0.549598108747045
2,RandomForest,0.5670103092783505,0.533678756476684,0.7410071942446043,0.6204819277108434,0.6267039000378644
2,GradientBoosting,0.5670103092783505,0.5403726708074534,0.6258992805755396,0.58,0.6113214691404771
2,LogisticRegression,0.6013745704467354,0.5804195804195804,0.5971223021582733,0.5886524822695035,0.6597879591063992
2,ExtraTrees,0.5567010309278351,0.532051282051282,0.5971223021582733,0.5627118644067797,0.5990155244225672
3,RandomForest,0.6666666666666666,0.6923076923076923,0.6513157894736842,0.6711864406779661,0.698930329420674
3,GradientBoosting,0.5498281786941581,0.6363636363636364,0.3223684210526316,0.4279475982532751,0.618563044301401
3,LogisticRegression,0.6082474226804123,0.7261904761904762,0.40131578947368424,0.5169491525423728,0.6705793260128738
3,ExtraTrees,0.5532646048109966,0.5763888888888888,0.5460526315789473,0.5608108108108109,0.5982109049602423
4,RandomForest,0.6048109965635738,0.6158940397350994,0.62,0.6179401993355482,0.6364066193853428
4,GradientBoosting,0.6357388316151202,0.7619047619047619,0.4266666666666667,0.5470085470085471,0.6703782505910165
4,LogisticRegression,0.6494845360824743,0.7608695652173914,0.4666666666666667,0.5785123966942148,0.7532860520094563
4,ExtraTrees,0.6082474226804123,0.59,0.7866666666666666,0.6742857142857143,0.6334751773049645
5,RandomForest,0.6254295532646048,0.6298701298701299,0.6510067114093959,0.6402640264026402,0.6606957179317516
5,GradientBoosting,0.6529209621993127,0.6690140845070423,0.6375838926174496,0.6529209621993127,0.7180262784762265
5,LogisticRegression,0.6769759450171822,0.6687116564417178,0.7315436241610739,0.6987179487179487,0.7435958030059552
5,ExtraTrees,0.5807560137457045,0.576271186440678,0.6845637583892618,0.6257668711656442,0.6244446545042064
