,net_profit,net_profit,net_profit,correct
,sum,mean,count,mean
month,,,,
2022-10,118.85,8.49,14,0.5
2022-11,519.43,30.55,17,0.65
2022-12,135.22,33.81,4,0.75
2023-06,235.73,78.58,3,1.0
2023-07,19.68,19.68,1,1.0
2023-08,41.19,41.19,1,1.0
2024-02,1028.4,41.14,25,0.72
2024-03,561.46,18.72,30,0.6
2024-04,135.97,135.97,1,1.0
2024-09,179.03,89.51,2,1.0
2024-10,341.14,17.06,20,0.65
2024-11,737.39,35.11,21,0.62
2025-01,455.12,18.2,25,0.6
2025-02,286.68,12.46,23,0.48
2025-03,567.5,25.8,22,0.73
2025-04,1024.22,48.77,21,0.71
2025-05,1697.35,67.89,25,0.68
2025-06,1164.64,52.94,22,0.68
2025-07,1265.71,50.63,25,0.64
2025-08,2125.92,75.93,28,0.68
2025-09,466.6,17.28,27,0.7
2025-10,290.2,58.04,5,0.8
